text,label
"Șoc și groază! Nu o să crezi ce s-a întâmplat aseară",fake
"Guvernul a publicat raportul oficial despre creșterea economică",real
"Un nou studiu arată că munca remote crește productivitatea",real
"Nu o să-ți vină să crezi! A slăbit 20 kg în 2 zile cu o dietă miraculoasă",fake
"Breaking news: Cutremur devastator a lovit capitala",fake
"Ministerul Educației a anunțat noi programe pentru elevi",real
"Alertă! Virusul care vindecă toate bolile descoperit în secret",fake
"Compania X a raportat profituri record în trimestrul 3",real
"Noua lege fiscală va intra în vigoare de la 1 ianuarie",real
"Șocant! Actor celebru a fost răpit de extratereștri",fake
"Raport OMS: numărul cazurilor de gripă a scăzut cu 10% în 2024",real
"Secret dezvăluit: cum să devii milionar peste noapte",fake
"Ședința de Guvern a durat 5 ore și a vizat proiecte economice",real
"Studiu NASA: planeta Marte ar putea susține viață umană",real
"Imagini exclusive! Monstrul din Loch Ness trăiește",fake
"Poliția a anunțat capturarea unei rețele internaționale de trafic",real
"Șoc și uimire: băutura care topește grăsimea instant",fake
"Banca Națională a redus dobânda de referință",real
"Cercetătorii au inventat pastila care prelungește viața cu 100 de ani",fake
"Un nou spital a fost inaugurat în capitală",real
